,NormMSE,Pearson,Spearman
K562(?)_EIF2B3+ctrl_1+1,0.38218448,0.9340416869576385,0.8228070175438595
K562(?)_AARS+ctrl_1+1,0.37787342,0.9316125016202308,0.763157894736842
K562(?)_TIMM44+ctrl_1+1,0.29945716,0.9278394948314218,0.8701754385964912
K562(?)_STT3A+ctrl_1+1,0.14262629,0.9445977465824087,0.993984962406015
K562(?)_CREB1+ctrl_1+1,1.6915271,-0.6537413463067688,0.9458646616541352
K562(?)_SEC61B+ctrl_1+1,0.13806488,0.9662318153056364,0.9929824561403509
K562(?)_DERL2+ctrl_1+1,0.051587496,0.9568273734739762,0.9947368421052631
K562(?)_COPB1+ctrl_1+1,0.23471263,0.9292375561867046,0.9924812030075187
K562(?)_ATP5B+ctrl_1+1,0.3708996,0.8679999758480439,0.9421052631578948
K562(?)_SLC39A7+ctrl_1+1,0.1540581,0.963077986026409,0.9842105263157893
K562(?)_SRP72+ctrl_1+1,0.19359553,0.8907595280145547,0.9842105263157893
K562(?)_SPCS2+ctrl_1+1,0.19737741,0.8463267190116498,0.9929824561403509
K562(?)_TELO2+ctrl_1+1,0.24471381,0.7709915102140549,0.9982456140350877
K562(?)_SLMO2+ctrl_1+1,0.34376642,0.9592954224261193,0.9614035087719298
K562(?)_SRP68+ctrl_1+1,0.2962929,0.8914609285516425,0.9929824561403509
K562(?)_SARS+ctrl_1+1,0.4556489,0.8463431025680096,0.7736842105263159
K562(?)_HSPA9+ctrl_1+1,0.37064713,0.8979533452800984,0.83859649122807
K562(?)_SCYL1+ctrl_1+1,0.35805866,0.9119528395441215,0.9508771929824561
K562(?)_TARS+ctrl_1+1,0.45817068,0.7408501490542476,0.9701754385964911
K562(?)_TMEM167A+ctrl_1+1,0.23913565,0.9451478593893867,0.9578947368421052
K562(?)_GMPPB+ctrl_1+1,0.20156638,0.8569888283935043,0.9819548872180449
K562(?)_MARS+ctrl_1+1,0.6701939,0.7221792164830432,0.8421052631578947
K562(?)_COPZ1+ctrl_1+1,0.20681661,0.9466456927272359,0.9473684210526316
K562(?)_HARS+ctrl_1+1,0.4087598,0.9298321941069039,0.8614035087719297
K562(?)_MANF+ctrl_1+1,0.16360667,0.9209236343253904,0.9912280701754386
K562(?)_SPCS3+ctrl_1+1,0.20363836,0.9386753008401133,0.9701754385964911
K562(?)_BHLHE40+ctrl_1+1,1.5113708,-0.6485389355789694,0.9333333333333333
K562(?)_CHERP+ctrl_1+1,0.5270865,0.7036553008548752,0.887719298245614
K562(?)_IARS2+ctrl_1+1,0.2930501,0.9063831885765921,0.8842105263157896
K562(?)_NEDD8+ctrl_1+1,0.25488147,0.9463067813629412,0.9596491228070174
K562(?)_HSD17B12+ctrl_1+1,0.25144103,0.9128214732651845,0.9684210526315788
K562(?)_OST4+ctrl_1+1,0.14372078,0.9090632543229149,0.9824561403508772
K562(?)_HYOU1+ctrl_1+1,0.12388261,0.945191735401569,0.9982456140350877
K562(?)_CARS+ctrl_1+1,0.43591332,0.9257831081139324,0.7929824561403509
K562(?)_DDOST+ctrl_1+1,0.23449452,0.9639137643903092,0.9824561403508772
K562(?)_MRPL39+ctrl_1+1,0.3129125,0.8814900758071208,0.9017543859649122
K562(?)_DHDDS+ctrl_1+1,0.7428396,0.6763868319387513,0.9142857142857143
K562(?)_XRN1+ctrl_1+1,0.1561087,0.9507144444294787,0.9774436090225563
K562(?)_UFM1+ctrl_1+1,0.10648183,0.9635969194039941,0.9701754385964911
K562(?)_PSMD4+ctrl_1+1,0.8571867,0.6739313105207612,0.9263157894736841
K562(?)_EIF2S1+ctrl_1+1,0.4666248,0.9276536068358997,0.7228070175438598
K562(?)_FARSB+ctrl_1+1,0.35793817,0.9563447966777494,0.9385964912280702
K562(?)_DAD1+ctrl_1+1,0.1591641,0.9590458452879491,0.975438596491228
K562(?)_PDIA6+ctrl_1+1,0.21322228,0.8495545443408956,0.987719298245614
